period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,19,raw_strict,Raw weekly average,observed,0.590351,0.02816,,
week,2,Week 2,19,raw_strict,Raw weekly average,observed,0.518797,0.036578,,
week,3,Week 3,19,raw_strict,Raw weekly average,observed,0.541056,0.043543,,
week,4,Week 4,17,raw_strict,Raw weekly average,observed,0.711194,0.038419,,
week,5,Week 5,16,raw_strict,Raw weekly average,observed,0.508333,0.048352,,
week,6,Week 6,17,raw_strict,Raw weekly average,observed,0.52451,0.057061,,
week,10,Week 10,20,raw_strict,Raw weekly average,observed,0.437453,0.041119,,
week,11,Week 11,16,raw_strict,Raw weekly average,observed,0.278341,0.056075,,
week,14,Week 14,20,raw_strict,Raw weekly average,observed,0.578516,0.031438,,
week,15,Week 15,19,raw_strict,Raw weekly average,observed,0.636325,0.050272,,
week,16,Week 16,22,raw_strict,Raw weekly average,observed,0.63911,0.027398,,
week,19,Week 19,18,raw_strict,Raw weekly average,observed,0.691667,0.060172,,
week,20,Week 20,9,raw_strict,Raw weekly average,observed,0.551852,0.089125,,
week,21,Week 21,13,raw_strict,Raw weekly average,observed,0.559578,0.071167,,
week,22,Week 22,17,raw_strict,Raw weekly average,observed,0.625509,0.032498,,
week,24,Week 24,19,raw_strict,Raw weekly average,observed,0.640351,0.056459,,
week,1,Week 1,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.567141,0.02816,-1.1237,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.502726,0.036578,-0.7781,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.527021,0.043468,-0.6795,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.690014,0.038421,-1.0254,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,16,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.493772,0.048352,-0.705,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.513724,0.057061,-0.5222,"universal beta (pooled student+month FE, strict correct)"
week,10,Week 10,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.460311,0.041036,1.1066,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,16,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.299431,0.056256,1.021,"universal beta (pooled student+month FE, strict correct)"
week,14,Week 14,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.606988,0.031365,1.3785,"universal beta (pooled student+month FE, strict correct)"
week,15,Week 15,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.65288,0.050175,0.8015,"universal beta (pooled student+month FE, strict correct)"
week,16,Week 16,22,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.629914,0.027298,-0.4452,"universal beta (pooled student+month FE, strict correct)"
