period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,17,raw_strict,Raw weekly average,observed,0.188305,0.070592,,
week,2,Week 2,12,raw_strict,Raw weekly average,observed,0.369658,0.092056,,
week,3,Week 3,24,raw_strict,Raw weekly average,observed,0.329464,0.047169,,
week,5,Week 5,25,raw_strict,Raw weekly average,observed,0.521542,0.045319,,
week,6,Week 6,13,raw_strict,Raw weekly average,observed,0.399767,0.08747,,
week,7,Week 7,23,raw_strict,Raw weekly average,observed,0.630915,0.049171,,
week,8,Week 8,19,raw_strict,Raw weekly average,observed,0.572111,0.061599,,
week,9,Week 9,12,raw_strict,Raw weekly average,observed,0.327083,0.112615,,
week,27,Week 27,26,raw_strict,Raw weekly average,observed,0.425641,0.049063,,
week,1,Week 1,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.181871,0.070592,-0.3115,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,12,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.356383,0.091944,-0.6427,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,24,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.315298,0.047168,-0.6858,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,25,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.509949,0.045485,-0.5613,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,13,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.390764,0.087654,-0.4359,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,23,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.613019,0.049795,-0.8664,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.569038,0.061551,-0.1487,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,12,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.328965,0.113639,0.0911,"universal beta (pooled student+month FE, strict correct)"
week,27,Week 27,26,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.435473,0.049063,0.476,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,17,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.192022,0.070592,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,12,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.354846,0.090655,-0.6036,"universal beta (pooled student+month FE, strict correct)"
